196	242
186	302
22	377
244	51
166	346
298	474
115	265
253	465
305	451
6	86
62	257
286	1014
200	222
210	40
224	29
303	785
122	387
194	274
291	1042
234	1184
119	392
167	486
299	144
308	1
95	546
38	95
102	768
63	277
160	234
50	246
301	98
225	193
290	88
97	194
157	274
181	1081
278	603
276	796
7	32
10	16
284	304
201	979
287	327
246	201
242	1137
249	241
99	4
178	332
251	100
81	432
260	322
25	181
59	196
72	679
87	384
42	423
292	515
20	288
13	526
138	26
60	427
57	304
223	274
189	512
243	15
92	1049
241	690
254	1444
293	5
127	229
222	366
267	518
11	111
8	338
162	25
279	154
145	275
28	209
135	23
32	294
90	382
216	144
250	496
271	132
265	118
198	498
168	151
110	307
58	144
237	514
94	789
128	485
44	195
264	200
41	265
82	135
262	1147
174	368
43	14
84	405
269	504
259	117
85	427
213	273
121	514
49	559
155	323
68	117
172	177
19	4
268	231
5	2
80	466
66	298
18	443
26	258
130	379
256	452
1	61
56	755
15	405
207	476
232	483
52	280
161	202
148	408
125	235
83	234
272	178
151	10
54	106
16	944
91	323
294	109
229	328
36	339
70	746
14	98
295	218
233	202
214	334
192	476
100	344
307	89
297	133
193	96
113	595
275	98
219	82
218	209
123	427
158	177
302	322
23	385
296	705
33	872
154	357
77	484
270	452
187	64
170	749
101	829
184	218
112	903
133	751
215	212
69	256
104	984
240	879
144	89
191	302
61	678
142	169
177	333
203	321
21	558
197	96
134	286
180	462
236	71
263	176
109	631
64	392
114	505
239	56
117	1047
65	47
137	144
257	137
111	328
285	191
96	156
116	350
73	480
221	475
235	185
164	406
281	338
182	845
129	873
45	25
131	126
230	680
126	905
231	181
280	508
288	132
152	301
217	597
79	303
75	284
245	1028
282	325
78	323
118	200
283	1114
171	292
107	333
226	242
306	235
173	289
185	23
150	293
274	845
188	692
48	609
311	432
165	216
208	216
2	292
205	304
248	234
93	820
159	1028
146	1022
29	245
156	661
37	288
141	245
195	1052
108	100
47	324
255	1034
89	216
140	332
190	977
24	64
17	13
313	117
53	281
124	496
149	319
176	875
106	526
312	692
175	127
153	174
220	298
143	682
199	221
202	283
277	257
206	302
76	61
314	28
136	89
179	339
4	264
304	259
3	335
227	50
252	277
212	180
310	116
35	243
147	904
105	268
34	312
71	89
51	182
204	216
315	273
31	886
316	98
103	24
318	474
30	539
120	546
46	307
289	282
209	906
261	340
88	750
9	298
247	736
321	496
266	676
74	272
238	252
319	313
323	257
67	64
211	127
98	47
12	300
40	268
258	288
228	475
325	485
320	117
326	22
327	191
183	241
328	9
322	197
330	11
27	742
331	7
332	770
329	100
86	258
139	268
300	948
163	288
333	894
334	117
39	315
324	748
132	922
336	66
335	328
169	301
338	494
339	132
309	333
342	1047
340	172
317	326
341	876
343	186
344	479
345	1160
346	213
347	22
273	328
55	144
349	411
348	628
354	462
351	340
358	469
352	55
360	334
363	391
355	300
362	333
357	284
356	313
361	273
365	301
350	174
367	1012
368	379
371	97
373	588
370	56
374	1047
372	159
337	106
378	554
366	853
377	443
375	44
359	250
379	69
380	176
381	582
